STATE,YEAR,HSS,CPE,IIM,HD,CM,EOH
AK,2013,6.800000191,4.599999905,7,3.299999952,2.900000095,5.099999905
AL,2013,7.199999809,3.799999952,7.400000095,4.300000191,5.599999905,5.400000095
AR,2013,7.400000095,4,8.5,4.900000095,5.5,5.099999905
AZ,2013,7.300000191,4.5,7.900000095,3.5,4.400000095,5.699999809
CA,2013,6.900000095,4.400000095,8.600000381,4.199999809,4.300000191,7.199999809
CO,2013,6.300000191,5,8.899999619,4.699999809,5.5,7.099999905
CT,2013,8.100000381,6.199999809,7.199999809,5.099999905,5.900000095,6.5
DC,2013,7.300000191,6.199999809,8.100000381,5.199999809,6.800000191,6.099999905
DE,2013,6.699999809,5.5,7.5,4.699999809,4.900000095,6
FL,2013,8,4,8.199999809,4.400000095,4.599999905,7.199999809
GA,2013,7,3.400000095,8,4.199999809,4.800000191,4.900000095
HI,2013,8.199999809,5,7,4.900000095,5.5,6.199999809
IA,2013,8,4.400000095,9.199999809,4.599999905,7.300000191,7
ID,2013,7.099999905,5.199999809,7.900000095,4.099999905,4.699999809,6.699999809
IL,2013,7.599999905,4.400000095,8.100000381,4.900000095,5.300000191,5.800000191
IN,2013,8.100000381,4.199999809,8.5,4.800000191,5.599999905,6.5
KS,2013,7.599999905,4.5,7.699999809,4.699999809,6.400000095,6.5
KY,2013,8,4.300000191,8.399999619,4.699999809,5.800000191,6.5
LA,2013,7.099999905,4.400000095,7.800000191,3.900000095,5.099999905,6
MA,2013,8.300000191,5.400000095,8,4.900000095,6.199999809,5.699999809
MD,2013,7.699999809,4.800000191,8.800000191,5.699999809,5.900000095,7.699999809
ME,2013,7.699999809,5.599999905,7.400000095,5.300000191,6.599999905,7.5
MI,2013,8.800000191,5.400000095,8.100000381,4.900000095,5.699999809,6.5
MN,2013,7.900000095,4.900000095,7.5,5.300000191,6.099999905,6.800000191
MO,2013,8.399999619,4.199999809,8.600000381,5.099999905,6.699999809,5.800000191
MS,2013,6.400000095,3.099999905,8.300000191,4.300000191,3.799999952,5.199999809
MT,2013,6.699999809,2.900000095,7.199999809,3.799999952,6.099999905,5.900000095
NC,2013,7.099999905,3.700000048,9.100000381,4.699999809,6.199999809,6.300000191
ND,2013,7.400000095,5.800000191,7.599999905,5.099999905,6.099999905,5.900000095
NE,2013,8.699999809,5.5,8.600000381,4.699999809,6.5,6.599999905
NH,2013,6.599999905,4.099999905,7.599999905,6,6.699999809,7.099999905
NJ,2013,7.800000191,4.099999905,7.900000095,5.300000191,5.699999809,6.300000191
NM,2013,8.899999619,3.200000048,7.800000191,3.900000095,4.800000191,6.300000191
NV,2013,7.199999809,4.099999905,8,3.700000048,3.799999952,6.699999809
NY,2013,7.699999809,5.099999905,7.900000095,4.800000191,5.5,7.099999905
OH,2013,6.199999809,4.599999905,8,4.5,5.800000191,5
OK,2013,7.400000095,4.400000095,7.900000095,4.5,6,6.199999809
OR,2013,7.5,5.099999905,7.599999905,4.099999905,5.900000095,6.099999905
PA,2013,7.199999809,4.400000095,8.199999809,5.5,5.900000095,4.599999905
RI,2013,7,6.199999809,8,5.900000095,6.099999905,5.599999905
SC,2013,7.5,3.5,9.100000381,5,6.099999905,6.400000095
SD,2013,7.599999905,4,7.400000095,4.699999809,6.800000191,5.900000095
TN,2013,6.800000191,4.699999809,8.899999619,4.199999809,6.400000095,6.300000191
TX,2013,8.600000381,4.400000095,7.599999905,3.799999952,5.699999809,6.5
UT,2013,7.800000191,5.5,9.399999619,4.300000191,4.900000095,6.300000191
VA,2013,7.800000191,4.300000191,9.300000191,5.099999905,5.400000095,7.5
VT,2013,8.600000381,4.900000095,8.800000191,5.800000191,6.300000191,6.800000191
WA,2013,8.199999809,5.699999809,7.400000095,3.900000095,5.199999809,7.099999905
WI,2013,7.900000095,4,7.900000095,4.900000095,6.199999809,7.300000191
WV,2013,6.599999905,3.400000095,7.199999809,5.099999905,6.699999809,5.099999905
WY,2013,7.699999809,2.5,7.199999809,4.400000095,5.400000095,4.199999809
AK,2014,7.699999809,4.199999809,7.400000095,3.400000095,3.5,5
AL,2014,7.599999905,4.099999905,7.5,4.300000191,5.699999809,5.300000191
AR,2014,7.800000191,3.900000095,8.600000381,5,6.199999809,5.5
AZ,2014,7.699999809,4,8.199999809,3.599999905,4.599999905,5.5
CA,2014,7.400000095,5,8.800000191,4.300000191,4.599999905,7.099999905
CO,2014,6.5,5.800000191,9,4.699999809,5.900000095,6.900000095
CT,2014,7.699999809,5.900000095,7.300000191,5.199999809,5.900000095,6.5
DC,2014,7.300000191,6.400000095,8.300000191,5.599999905,7.400000095,6.199999809
DE,2014,7.900000095,5.099999905,7.699999809,4.599999905,5.300000191,5.599999905
FL,2014,8.600000381,5.199999809,8.199999809,4.599999905,4.800000191,7.199999809
GA,2014,8,3.5,8.100000381,4.199999809,4.800000191,5
HI,2014,8.100000381,4.800000191,7.199999809,4.900000095,5.400000095,6.300000191
IA,2014,8.699999809,4.699999809,9.399999619,4.599999905,7.699999809,6.900000095
ID,2014,7.599999905,5.199999809,8,4.099999905,4.5,6.599999905
IL,2014,7.400000095,4.199999809,8.300000191,4.900000095,5.300000191,6
IN,2014,9.100000381,4,8.600000381,4.800000191,5.800000191,6.5
KS,2014,8,4.400000095,7.900000095,4.900000095,7,6.300000191
KY,2014,8.800000191,4.400000095,8.5,4.800000191,5.800000191,6.5
LA,2014,8,4.5,8,3.900000095,4.900000095,5.800000191
MA,2014,8.5,5.599999905,8.199999809,4.900000095,6.199999809,5.800000191
MD,2014,7.800000191,4.800000191,8.899999619,5.800000191,5.900000095,7.699999809
ME,2014,8.5,5.300000191,7.5,5.300000191,6.199999809,7.400000095
MI,2014,8.899999619,5.300000191,8.199999809,4.900000095,5.699999809,6.599999905
MN,2014,8.5,5.599999905,7.800000191,5.300000191,6.099999905,6.800000191
MO,2014,8.800000191,4.199999809,8.800000191,5.199999809,6.5,5.599999905
MS,2014,5.900000095,5.099999905,8.5,4.300000191,3.700000048,5.599999905
MT,2014,7.400000095,5.099999905,7.5,3.799999952,6.699999809,6
NC,2014,7.400000095,3.700000048,9.300000191,4.800000191,6.099999905,6.400000095
ND,2014,8.100000381,5.599999905,7.900000095,5.199999809,5.900000095,5.599999905
NE,2014,9.199999809,5.400000095,8.800000191,4.800000191,6.599999905,6.599999905
NH,2014,8.5,4.599999905,7.699999809,6,6.199999809,7
NJ,2014,8,4.300000191,8,5.400000095,6,6.099999905
NM,2014,8.800000191,3.099999905,8,4,4.599999905,6.300000191
NV,2014,7.900000095,3.599999905,8.100000381,3.700000048,3.799999952,5.800000191
NY,2014,8.199999809,5.599999905,8.100000381,4.900000095,5.699999809,7.199999809
OH,2014,6.599999905,4.800000191,8.199999809,4.5,5.599999905,4.900000095
OK,2014,7.400000095,5.400000095,8.100000381,4.599999905,6,4.300000191
OR,2014,8.5,5,7.800000191,4.199999809,6,6.300000191
PA,2014,7.599999905,4.300000191,8.199999809,5.5,6,4.699999809
RI,2014,7.199999809,6.099999905,8,6.400000095,7.199999809,5.599999905
SC,2014,7.400000095,3.799999952,9.300000191,5,6.199999809,5.199999809
SD,2014,7.5,4.099999905,7.5,4.699999809,6.699999809,5.800000191
TN,2014,7.599999905,4.699999809,9,4.199999809,6.5,6.699999809
TX,2014,9,4.199999809,7.900000095,3.799999952,5.800000191,6.800000191
UT,2014,8.300000191,5.5,9.600000381,4.400000095,5,6.199999809
VA,2014,8,4.400000095,9.399999619,5.099999905,5.599999905,7.5
VT,2014,9,5.099999905,8.899999619,5.900000095,6.099999905,6.800000191
WA,2014,8.600000381,5.5,7.599999905,4,5.199999809,7.199999809
WI,2014,8.300000191,4.800000191,8.100000381,4.900000095,6.199999809,7.199999809
WV,2014,7.199999809,3.400000095,7.400000095,5.199999809,7.199999809,5.699999809
WY,2014,7.900000095,3.799999952,7.5,4.400000095,5.199999809,4.800000191
AK,2015,8.300000191,4.099999905,7.400000095,3.700000048,3.599999905,5.099999905
AL,2015,7.400000095,4,7.599999905,4.300000191,5.300000191,5.400000095
AR,2015,7.900000095,4.400000095,8.600000381,5,6.199999809,5.400000095
AZ,2015,7.800000191,4,9,3.400000095,4.699999809,5.599999905
CA,2015,7.5,5.599999905,8.800000191,4.199999809,5,7.199999809
CO,2015,7.300000191,5.900000095,8.300000191,5.5,6.099999905,6.900000095
CT,2015,7.5,5.699999809,8.100000381,5,5.699999809,6.599999905
DC,2015,7.099999905,7,8.199999809,5.400000095,5.900000095,6.699999809
DE,2015,8,4.900000095,7.800000191,4.599999905,5.900000095,5.599999905
FL,2015,8.699999809,5.199999809,8.300000191,4.599999905,5.199999809,7.099999905
GA,2015,8,4,8.199999809,4.199999809,5.199999809,5.099999905
HI,2015,8,4.800000191,7.199999809,4.900000095,5.199999809,6.5
IA,2015,8.199999809,4.5,9.5,4.599999905,7.599999905,7.099999905
ID,2015,7.5,5,8.100000381,4.099999905,4.5,6.699999809
IL,2015,7.300000191,4.400000095,8.800000191,4.800000191,5.300000191,6.099999905
IN,2015,8.600000381,4,8.600000381,4.800000191,5.599999905,6.5
KS,2015,8,4.400000095,8,4.800000191,7.300000191,6.300000191
KY,2015,9.100000381,4.800000191,9.300000191,4.800000191,5.900000095,6.5
LA,2015,7.300000191,4,8,3.900000095,4.800000191,5.900000095
MA,2015,9.100000381,5.199999809,8.199999809,4.900000095,6.300000191,6
MD,2015,8.199999809,5.099999905,9,5.699999809,5.900000095,7.800000191
ME,2015,8.5,5.199999809,8.800000191,5.199999809,6.400000095,7.400000095
MI,2015,8.899999619,4.599999905,8.300000191,4.900000095,5.599999905,6.5
MN,2015,8.5,5.800000191,7.800000191,5.199999809,6.099999905,6.900000095
MO,2015,8.699999809,4.099999905,8.800000191,5.099999905,6.699999809,5.800000191
MS,2015,6.5,4.800000191,8.600000381,4.300000191,4,5.800000191
MT,2015,7.5,4.599999905,8.199999809,3.700000048,6.599999905,6.099999905
NC,2015,7.699999809,3.599999905,9.5,4.900000095,6.599999905,6.5
ND,2015,8.199999809,5.900000095,8,5.199999809,5.900000095,5.800000191
NE,2015,8.800000191,5.599999905,8.899999619,4.800000191,7,6.699999809
NH,2015,8.5,4.599999905,8.399999619,6,6.199999809,7.099999905
NJ,2015,7.900000095,4.199999809,8,5.400000095,5.599999905,6.099999905
NM,2015,8.5,3.799999952,8.800000191,4,5.300000191,6.5
NV,2015,8.300000191,3.700000048,8.199999809,3.599999905,4.099999905,6.199999809
NY,2015,9,5.599999905,8.199999809,4.900000095,5.699999809,7.199999809
OH,2015,7.300000191,5.400000095,8.300000191,4.5,5.599999905,4.900000095
OK,2015,7.5,5.099999905,8.199999809,4.699999809,6.300000191,4.300000191
OR,2015,8.199999809,5.400000095,7.800000191,4.300000191,6.099999905,6.400000095
PA,2015,7.800000191,4.300000191,8.800000191,5.400000095,6.099999905,4.900000095
RI,2015,7.099999905,6.5,8,6.099999905,7.099999905,5.699999809
SC,2015,7.599999905,4.199999809,9.399999619,5,6.5,5.300000191
SD,2015,7.800000191,4,7.699999809,4.599999905,7.400000095,5.900000095
TN,2015,7.400000095,4,9.100000381,4.099999905,6.300000191,6.599999905
TX,2015,8.800000191,4.199999809,8.5,4.599999905,5.900000095,6.900000095
UT,2015,8.100000381,5.599999905,9.699999809,4.5,5,6.099999905
VA,2015,8.600000381,4.599999905,9.5,5.800000191,5.5,7.599999905
VT,2015,8.600000381,6.300000191,9,5.599999905,5.800000191,6.900000095
WA,2015,8.5,5.300000191,8.300000191,3.900000095,5.300000191,7.300000191
WI,2015,8.199999809,4.800000191,8.100000381,4.800000191,6.300000191,7.300000191
WV,2015,6.900000095,3.900000095,7.5,5.199999809,7,5.5
WY,2015,7.5,3.799999952,7.5,4.400000095,5.300000191,4.900000095
AK,2016,8.899999619,4,7.699999809,3.900000095,3.400000095,6.099999905
AL,2016,8.5,4.400000095,7.699999809,4.599999905,5.300000191,6.699999809
AR,2016,7.699999809,5.300000191,8.699999809,5.099999905,6.400000095,6.099999905
AZ,2016,8,4.800000191,8.899999619,3.599999905,4.699999809,6.699999809
CA,2016,8.300000191,5.300000191,8.800000191,4.099999905,4.900000095,7.900000095
CO,2016,7.599999905,6.5,8.199999809,5.800000191,6.400000095,7.400000095
CT,2016,8.300000191,6.199999809,8.800000191,5.199999809,5.900000095,7.099999905
DC,2016,7.800000191,7.800000191,8.399999619,6,5.5,5.699999809
DE,2016,8,6,7.800000191,4.800000191,6.400000095,5.599999905
FL,2016,8.699999809,5.300000191,8.399999619,4.5,5,7.400000095
GA,2016,8.399999619,4.900000095,8.300000191,4.300000191,5,7.099999905
HI,2016,8,4.300000191,7.900000095,5,6,6.599999905
IA,2016,8.199999809,4.599999905,9.5,4.699999809,7.599999905,7.199999809
ID,2016,8.300000191,5.099999905,8.300000191,4.900000095,4.599999905,6.300000191
IL,2016,8.699999809,4.900000095,8.899999619,4.900000095,5.5,7.199999809
IN,2016,8.300000191,4,8.100000381,4.699999809,5.599999905,6.699999809
KS,2016,8.100000381,3.900000095,8.800000191,5.599999905,6.900000095,5.699999809
KY,2016,7.800000191,4.800000191,9.600000381,4.699999809,5.900000095,6.099999905
LA,2016,8.199999809,4.699999809,8.300000191,4,4.800000191,7
MA,2016,9.5,6.599999905,8.199999809,4.900000095,6,7.5
MD,2016,8.800000191,5.599999905,9.100000381,5.800000191,6.5,7.900000095
ME,2016,8.399999619,5.900000095,8.899999619,5.199999809,6.400000095,6.400000095
MI,2016,8.600000381,5,8.5,5,5.400000095,5.599999905
MN,2016,8.5,6.400000095,7.900000095,5.400000095,6.300000191,6.5
MO,2016,8.699999809,4.800000191,8.800000191,4.900000095,6.699999809,6.199999809
MS,2016,8,4.900000095,8.899999619,4.400000095,5.699999809,6.099999905
MT,2016,8.199999809,5.199999809,8.399999619,3.700000048,6.199999809,5.900000095
NC,2016,7.800000191,5.400000095,9.600000381,4.900000095,6.400000095,7.099999905
ND,2016,8.300000191,6,8.100000381,5.099999905,5.800000191,5.699999809
NE,2016,9,5.900000095,9.100000381,5,6.300000191,6.400000095
NH,2016,8.300000191,4.800000191,8.699999809,6.199999809,6.300000191,7.300000191
NJ,2016,8,4.900000095,8.100000381,5.400000095,5.800000191,6.800000191
NM,2016,7.900000095,4.099999905,8.699999809,4.099999905,4.800000191,6.300000191
NV,2016,8.199999809,4.400000095,8,3.700000048,4.199999809,6.599999905
NY,2016,8.399999619,6.099999905,8.300000191,5,5.900000095,7.300000191
OH,2016,6.599999905,5.800000191,8.399999619,4.5,5.800000191,5.699999809
OK,2016,7.099999905,5.5,8.199999809,4.699999809,6.099999905,5.699999809
OR,2016,8.699999809,5.599999905,7.900000095,4.5,6.300000191,7.5
PA,2016,7.800000191,5.400000095,9.100000381,5.5,6,6.699999809
RI,2016,7.800000191,6.699999809,8.199999809,5.900000095,7.400000095,6.099999905
SC,2016,7.800000191,4,9.600000381,5.199999809,6.300000191,6.800000191
SD,2016,8.300000191,4.300000191,8.199999809,4.599999905,7.5,5.599999905
TN,2016,8.399999619,4.300000191,9.300000191,4.099999905,6.099999905,6.400000095
TX,2016,8.399999619,4.599999905,8.600000381,4.5,5.900000095,7.300000191
UT,2016,8.699999809,5.5,9.600000381,5.199999809,4.900000095,6.199999809
VA,2016,8.5,5.099999905,9.699999809,5.900000095,5.5,7.699999809
VT,2016,9.399999619,6.5,8.800000191,6,5.800000191,6.699999809
WA,2016,8.600000381,5.5,8.300000191,4.099999905,5.599999905,7.699999809
WI,2016,8.699999809,5.300000191,9,5,6.199999809,7.300000191
